player,position,team,points,floor,ceiling,position_rank,sd_adp,bye,adp_espn,adp_sleeper,adp_rtsports,params,p_injury_game,injury_risk,flex_rank
D'Andre Swift,RB,PHI,178.0,145.0,205.0,30.0,7.0,10.0,85.0,63.0,68.0,"{'a': -2.25, 'loc': 197.5, 'scale': 26.7}",0.058,High,67.0
Tyler Lockett,WR,SEA,209.0,181.0,246.0,28.0,5.8,5.0,70.0,68.0,71.0,"{'a': 3.25, 'loc': 185.25, 'scale': 31.05}",0.085, High,44.0
Pat Freiermuth,TE,PIT,153.0,135.0,174.0,9.0,10.7,6.0,82.0,83.0,88.0,"{'a': 1.75, 'loc': 141.75, 'scale': 16.4}",0.132, High,
Diontae Johnson,WR,PIT,204.0,182.0,226.0,29.5,5.1,6.0,57.0,81.0,76.0,"{'a': -0.0, 'loc': 204.0, 'scale': 13.350000000000001}",0.042,Medium,48.5
Marquise Brown,WR,ARI,204.0,182.0,231.0,29.5,6.5,14.0,79.0,78.0,87.0,"{'a': 2.25, 'loc': 188.0, 'scale': 22.0}",0.088, High,48.5
Deshaun Watson,QB,CLE,288.0,260.0,314.0,8.0,9.6,5.0,67.0,89.0,93.0,"{'a': -1.25, 'loc': 301.25, 'scale': 21.05}",0.004, Low,
Drake London,WR,ATL,203.0,190.0,232.0,31.0,4.2,11.0,78.0,56.0,72.0,"{'a': 6.25, 'loc': 190.0, 'scale': 21.35}",0.048,Medium,50.5
Michael Pittman,WR,IND,202.0,156.0,246.0,32.0,6.5,11.0,87.0,69.0,79.0,"{'a': -1.0, 'loc': 220.75, 'scale': 33.15}",0.034,Medium,52.0
Antonio Gibson,RB,WAS,168.0,145.0,197.0,31.5,5.4,14.0,111.0,97.0,80.0,"{'a': 2.5, 'loc': 150.5, 'scale': 23.6}",0.057,High,72.5
Daniel Jones,QB,NYG,284.0,257.0,320.0,9.0,10.9,13.0,115.0,140.0,104.0,"{'a': 3.25, 'loc': 261.0, 'scale': 30.1}",0.058, High,
Jerry Jeudy,WR,DEN,199.0,170.0,239.0,33.5,5.7,9.0,69.0,55.0,81.0,"{'a': 3.75, 'loc': 173.25, 'scale': 33.45}",0.07,High,54.5
Brandon Aiyuk,WR,SF,199.0,175.0,241.0,33.5,5.2,9.0,74.0,65.0,69.0,"{'a': 6.25, 'loc': 175.0, 'scale': 33.7}",0.043,Medium,54.5
Tyler Higbee,TE,LAR,144.0,125.0,156.0,10.5,16.3,10.0,120.0,142.0,143.0,"{'a': -5.0, 'loc': 155.5, 'scale': 15.55}",0.055, High,
AJ Dillon,RB,GB,166.0,129.0,192.0,33.0,6.6,6.0,96.0,92.0,83.0,"{'a': -4.5, 'loc': 190.25, 'scale': 31.3}",0.043,Medium,74.0
David Njoku,TE,CLE,144.0,125.0,171.0,10.5,10.8,5.0,90.0,86.0,98.0,"{'a': 4.75, 'loc': 126.0, 'scale': 23.0}",0.035,High,
Khalil Herbert,RB,CHI,164.0,141.0,201.0,34.0,8.0,13.0,94.0,107.0,78.0,"{'a': 6.25, 'loc': 141.0, 'scale': 30.55}",0.138, High,75.5
