"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"339","Quincy Williams","LB","NYJ",99.8,28.4,0.123,84,132,-22.8,-17.1,-30.5,333,277,361,41,"2",NA,NA,29
"340","Alex Highsmith","LB","PIT",99.7,NA,0.26,NA,NA,-23,NA,NA,336,NA,NA,42,"2",NA,5.66,NA
"341","Christian Harris","LB","HOU",99.4,30.6,0.191,75,133,-23.2,-26.1,-29.9,338,353,356,43,"2",NA,2.66,39
"342","Zaven Collins","LB","ARI",99.2,32.6,2.02,78.6,123,-23.4,-22.6,-39.6,339,326,424,44,"2",NA,NA,41
"343","Rondale Moore","WR","ARI",164,25.3,0.643,135,201,-23.8,-25.2,-17.1,341,345,263,45,"7",150,1.77,86
"344","Bears","DST","CHI",72.7,14.4,0,47.5,88.2,-23.9,-37.4,-22.9,342,455,310,32,"18",170,0,81
"345","Josh Allen","DL","JAC",50.3,17.9,0.431,37.1,61.7,-24.3,-31.4,-29.1,345,404,348,49,"8",NA,NA,71
"346","Treylon Burks","WR","TEN",163,28.9,1.45,120,198,-24.5,-40.3,-19.5,346,485,284,46,"8",123,3.18,77
"347","Chandler Jones","DL","LVR",49.9,1.91,0.323,48.6,51.3,-24.7,-19.9,-39.6,347,299,425,50,"8",NA,NA,13
"348","Dean Lowry","DL","MIN",49.5,46.4,0.471,17.9,81.7,-25.1,-50.7,-9.17,350,551,190,51,"8",NA,NA,98
"349","Quay Walker","LB","GB",97.2,27.2,0.665,79.6,128,-25.4,-21.5,-34.6,352,311,395,45,"2",NA,NA,24
"350","Michael Hoecht","DL","LAR",49.1,4.67,0.957,46.1,52.5,-25.5,-22.5,-38.3,353,322,415,52,"8",NA,NA,25
"351","Odell Beckham","WR","BAL",161,27.2,2.17,126,197,-25.9,-34.2,-21.2,354,428,299,47,"8",114,4.91,89
"352","Shaq Green-Thompson","LB","CAR",96.5,45.7,0.912,70.6,149,-26.1,-30.5,-13.9,355,396,237,46,"2",NA,NA,90
"353","James Houston","DL","DET",48.1,NA,0.1,NA,NA,-26.5,NA,NA,357,NA,NA,53,"8",NA,NA,NA
"354","Jeffery Wilson","RB","MIA",129,34,2.69,88.2,179,-26.6,-38.6,-13,360,471,223,41,"10",142,2.61,83
"355","Leonard Floyd","DL","BUF",48,NA,0.0737,NA,NA,-26.6,NA,NA,359,NA,NA,54,"8",NA,NA,NA
"356","Travon Walker","DL","JAC",47.9,1.41,0.491,47,49,-26.7,-21.5,-41.9,362,314,446,55,"8",NA,NA,4
"357","Matt Judon","LB","NE",95.6,NA,1.28,NA,NA,-27,NA,NA,365,NA,NA,47,"2",NA,8.35,NA
"358","Brandon Graham","DL","PHI",47.4,2.19,0.416,46,49,-27.1,-22.5,-41.8,367,323,442,56,"8",NA,NA,15
"359","Kenny Clark","DL","GB",47,26,0.0474,29.1,76.6,-27.6,-39.4,-14.2,369,475,242,57,"8",NA,NA,96
"360","Bud Dupree","DL","ATL",47,1.48,0.273,46,48.1,-27.6,-22.5,-42.8,371,324,450,58,"8",NA,NA,5
"361","Anthony Richardson","QB","IND",244,38.4,9.15,176,286,-27.7,-76.3,0,372,612,130,18,"7",113,11.2,79
"362","Jermaine Johnson","DL","NYJ",46.7,NA,0.0956,NA,NA,-27.9,NA,NA,375,NA,NA,59,"8",NA,NA,NA
"363","Yannick Ngakoue","DL","CHI",46.6,8.56,0.836,41.1,52.9,-28,-27.4,-37.9,376,369,411,60,"8",NA,NA,42
"364","Kadarius Toney","WR","KC",159,26.8,1,115,188,-28.1,-45.5,-30.3,378,517,359,48,"8",123,3.16,85
"365","Haason Reddick","LB","PHI",94.4,NA,0.5,NA,NA,-28.3,NA,NA,380,NA,NA,48,"2",NA,9.5,NA
"366","Elandon Roberts","LB","PIT",93.8,38.8,0.0854,68.7,138,-28.8,-32.4,-24.7,382,414,318,49,"2",NA,NA,69
"367","Nicholas Morrow","LB","PHI",93.8,33.5,0.0798,66.9,131,-28.9,-34.3,-31.9,385,429,374,50,"2",NA,NA,47
"368","Leighton Vander Esch","LB","DAL",93.7,36.7,0.339,69.7,136,-29,-31.4,-27.3,386,402,338,51,"2",NA,NA,61
"369","Tyler Boyd","WR","CIN",158,13.8,0.495,138,174,-29.1,-22.2,-44,389,319,462,49,"8",146,2.78,18
